sõna	liik	kokku	aja	ilu
aabits	S	16	14	2
aade	S	9	8	1
aadress	S	72	35	37
aamen	D	10	1	9
aaria	A/S	6	2	4
aas	S/S	25	21	4
aasima	V	5	3	2
aasta	S	3337	2699	638
aastaaeg	S	14	4	10
aastakäik	S	7	5	2
aastakümme	S	50	35	15
aastane	A	48	28	20
aastapalk	S	6	5	1
aastapäev	S	29	27	2
aastasada	S	13	4	9
aastatepikkune	A	8	5	3
aastatetagune	A	6	4	2
aastatuhat	S	14	10	4
aastavahetus	S	10	9	1
aatemees	S	5	4	1
abi	S	326	187	139
abielluma	V	33	9	24
abiellumine	S	12	1	11
abielu	S	77	28	49
abielumees	S	6	1	5
abielupaar	S	8	6	2
abikaasa	S	100	60	40
abil	D	112	81	31
abiline	S	12	3	9
abinõu	S	23	15	8
abisaadetis	S	5	3	2
abistama	V	20	12	8
abistamine	S	13	12	1
abistav	A	9	6	3
abitu	A	32	8	24
abitult	D	19	4	15
abiturient	S	5	4	1
abitus	S	7	2	5
abivalmis	A	8	3	5
abort	S	16	7	9
absoluutne	A	15	11	4
absoluutselt	D	28	12	16
abstraktne	A	13	9	4
absurd	S	11	6	5
absurdne	A	22	12	10
adekvaatne	A	6	5	1
ader	S	6	2	4
administraator	S	5	4	1
administratsioon	S	10	9	1
admiral	S	10	8	2
adrenaliin	S	5	3	2
adresseerima	V	11	7	4
aduma	V	10	4	6
advokaat	S	48	18	30
aed	S	150	37	113
aedik	S	6	3	3
aednik	S	6	1	5
aedvili	S	7	6	1
aeg	S	2387	1078	1309
aega	D	26	15	11
aegajalt	D	19	6	13
aeg-ajalt	D	106	37	69
aegamööda	D	14	5	9
aeglane	A	32	9	23
aeglaselt	D	61	5	56
aeglasem	A	8	5	3
aeglasemalt	D	6	3	3
aeglustama	V	11	3	8
aegluubis	D	7	1	6
aegsasti	D	11	6	5
aeguma	V	12	9	3
aer	S	11	1	10
afäär	S	6	3	3
aga	D	5276	1817	3459
agar	A/S	7	3	4
agaralt	D	6	2	4
agent	S	16	6	10
agressiivne	A	6	4	2
agronoom	S	8	5	3
agul	S	7	2	5
ah	D	144	4	140
ahaa	D	10	1	9
ahah	D	9	2	7
ahastus	S	12	1	11
ahel	S	16	4	12
ahhaa	D	7	5	2
ahhetama	V	7	1	6
ahi	S	52	20	32
ahistama	V	13	8	5
ahistav	A	5	2	3
ahjusuu	S	5	1	4
ahmima	V	9	2	7
ahne	A	6	1	5
ahnus	S	10	2	8
